"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 11 12:27:04 GMT 2025","Thu Sep 11 12:27:05 GMT 2025","957","","Home do Site","","","","Remover produto do carrinho",""
"passed","Thu Sep 11 12:27:01 GMT 2025","Thu Sep 11 12:27:02 GMT 2025","1280","","Home do Site","","","","Visualiza lista de produtos apos login",""
"passed","Thu Sep 11 12:27:21 GMT 2025","Thu Sep 11 12:27:22 GMT 2025","436","","Login de usuario","","","","Login com dados invalidos (example #5)",""
"passed","Thu Sep 11 12:27:03 GMT 2025","Thu Sep 11 12:27:04 GMT 2025","930","","Home do Site","","","","Adicionar produto ao carrinho",""
"passed","Thu Sep 11 12:27:08 GMT 2025","Thu Sep 11 12:27:09 GMT 2025","942","","Home do Site","","","","Adicionar produto ao carrinho e continuar comprando",""
"passed","Thu Sep 11 12:27:06 GMT 2025","Thu Sep 11 12:27:07 GMT 2025","1660","","Home do Site","","","","Finalizar compra com sucesso",""
"passed","Thu Sep 11 12:27:19 GMT 2025","Thu Sep 11 12:27:20 GMT 2025","637","","Login de usuario","","","","Login com dados invalidos (example #2)",""
"passed","Thu Sep 11 12:27:23 GMT 2025","Thu Sep 11 12:27:24 GMT 2025","716","","Login de usuario","","","","Steps de suporte a autenticacao",""
"passed","Thu Sep 11 12:27:22 GMT 2025","Thu Sep 11 12:27:23 GMT 2025","705","","Login de usuario","","","","Login com dados invalidos (example #6)",""
"passed","Thu Sep 11 12:27:18 GMT 2025","Thu Sep 11 12:27:19 GMT 2025","713","","Login de usuario","","","","Login com dados invalidos (example #1)",""
"passed","Thu Sep 11 12:27:20 GMT 2025","Thu Sep 11 12:27:20 GMT 2025","507","","Login de usuario","","","","Login com dados invalidos (example #3)",""
"passed","Thu Sep 11 12:27:21 GMT 2025","Thu Sep 11 12:27:21 GMT 2025","531","","Login de usuario","","","","Login com dados invalidos (example #4)",""
"passed","Thu Sep 11 12:26:54 GMT 2025","Thu Sep 11 12:26:54 GMT 2025","317","","Validação da API do Trello","","","","Obter o nome da lista de uma acao",""
"passed","Thu Sep 11 12:27:16 GMT 2025","Thu Sep 11 12:27:17 GMT 2025","929","","Login de usuario","","","","Login com sucesso",""
